190304 131339.564|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to E:\_CTDLGT_D17\Luyentap\Contest3\Contest3\pc2Client\bin\logs directory.
190304 131339.564|INFO|AWT-EventQueue-0|info|
190304 131339.564|INFO|AWT-EventQueue-0|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_101 build 5102 Windows 10 10.0 (amd64) 
190304 131339.564|INFO|AWT-EventQueue-0|info|Login: 450 (aka team450)
190304 131339.564|INFO|AWT-EventQueue-0|startLog|Working directory is E:\_CTDLGT_D17\Luyentap\Contest3\Contest3\pc2Client\bin
190304 131339.564|INFO|AWT-EventQueue-0|startLog|Process id is 4280@NguyenManhSon
190304 131339.564|INFO|AWT-EventQueue-0|info|Contacting server at 203.162.88.119:50002 as TEAM450 @ site 0
190304 131339.564|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM450 @ site 0
190304 131339.564|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM450 @ site 0 -> SERVER0 @ site 0
190304 131339.564|INFO|Thread-4|run|send(Serializable)
190304 131339.626|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM450 @ site 0 -> SERVER0 @ site 0
190304 131339.626|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
190304 131340.594|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
190304 131340.719|INFO|Thread-5|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #38811 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131340.719|INFO|Thread-5|dumpPacket|Packet LOGIN_SUCCESS (Seq #38811, o#38811 ) recieveObject
190304 131340.719|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131340.719|INFO|Thread-5|dumpPacket|    To: TEAM450 @ site 1
190304 131340.719|INFO|Thread-5|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@7011b827
190304 131340.719|INFO|Thread-5|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
190304 131340.719|INFO|Thread-5|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@7ed65855
190304 131340.719|INFO|Thread-5|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@7ae9d357
