190304 131340.735|CONFIG|Thread-5|setFileHandlers|Now logging to E:\_CTDLGT_D17\Luyentap\Contest3\Contest3\pc2Client\bin\logs directory.
190304 131340.735|INFO|Thread-5|info|
190304 131340.750|INFO|Thread-5|info|Version 9.6.0 20190102 (Wednesday, January 2nd 2019 01:20 UTC) Java ver 1.8.0_101 build 5102 Windows 10 10.0 (amd64) 
190304 131340.750|INFO|Thread-5|info|Login: team450 (aka team450)
190304 131340.750|INFO|Thread-5|startLog|Working directory is E:\_CTDLGT_D17\Luyentap\Contest3\Contest3\pc2Client\bin
190304 131340.750|INFO|Thread-5|startLog|Process id is 4280@NguyenManhSon
190304 131340.750|INFO|Thread-5|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
190304 131340.750|INFO|Thread-5|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
190304 131341.045|INFO|Thread-5|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
190304 131341.045|INFO|Thread-5|info|handlePacket end Packet[LOGIN_SUCCESS] #38811 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131341.045|INFO|Thread-5|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #38811 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131356.488|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for N C/C++ file: C:\Users\Manh Son\Desktop\QHD\N.cpp
190304 131356.504|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM450 @ site 1 -> SERVER0 @ site 1
190304 131356.504|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM450 @ site 1 -> SERVER0 @ site 1
190304 131358.772|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #38817 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131358.772|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #38817, o#38817 ) recieveObject
190304 131358.772|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131358.772|INFO|Thread-8|dumpPacket|    To: TEAM450 @ site 1
190304 131358.772|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3597 QUEUED_FOR_COMPUTER_JUDGEMENT 4357 min 261451410ms from TEAM450 @ site 1 id Run-7464677422122232446 problem N-9171308613965007164 lang C/C++--2653330288382123202
190304 131358.772|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #38817 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131358.772|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #38817, o#38817 ) handlePacket
190304 131358.772|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131358.772|INFO|Thread-8|dumpPacket|    To: TEAM450 @ site 1
190304 131358.772|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3597 QUEUED_FOR_COMPUTER_JUDGEMENT 4357 min 261451410ms from TEAM450 @ site 1 id Run-7464677422122232446 problem N-9171308613965007164 lang C/C++--2653330288382123202
190304 131359.943|INFO|Thread-8|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #38817 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131407.896|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #38824 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131407.896|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #38824, o#38824 ) recieveObject
190304 131407.896|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131407.896|INFO|Thread-9|dumpPacket|    To: TEAM450 @ site 1
190304 131407.896|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
190304 131407.896|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3597 JUDGED 4357 min 261451410ms from TEAM450 @ site 1 id Run-7464677422122232446 problem N-9171308613965007164 lang C/C++--2653330288382123202
190304 131407.896|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-8028836472540142573 id JudgementRecord-7541089720185742773
190304 131407.896|INFO|Thread-9|info|handlePacket start Packet[RUN_JUDGEMENT] #38824 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131407.896|INFO|Thread-9|dumpPacket|Packet RUN_JUDGEMENT (Seq #38824, o#38824 ) handlePacket
190304 131407.896|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131407.911|INFO|Thread-9|dumpPacket|    To: TEAM450 @ site 1
190304 131407.911|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
190304 131407.911|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3597 JUDGED 4357 min 261451410ms from TEAM450 @ site 1 id Run-7464677422122232446 problem N-9171308613965007164 lang C/C++--2653330288382123202
190304 131407.911|INFO|Thread-9|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-8028836472540142573 id JudgementRecord-7541089720185742773
190304 131409.026|INFO|Thread-9|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 3597 JUDGED 4357 min 261451410ms from TEAM450 @ site 1 id Run-7464677422122232446 problem N-9171308613965007164 lang C/C++--2653330288382123202; runFiles=null
190304 131409.026|INFO|Thread-9|runChanged|Event not for me: sent to null but my ID is TEAM450 @ site 1
190304 131409.026|INFO|Thread-9|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #38824 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131414.993|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for O C/C++ file: C:\Users\Manh Son\Desktop\QHD\O.cpp
190304 131414.993|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM450 @ site 1 -> SERVER0 @ site 1
190304 131414.993|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM450 @ site 1 -> SERVER0 @ site 1
190304 131417.213|INFO|Thread-11|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #38826 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131417.213|INFO|Thread-11|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #38826, o#38826 ) recieveObject
190304 131417.213|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131417.213|INFO|Thread-11|dumpPacket|    To: TEAM450 @ site 1
190304 131417.213|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3598 QUEUED_FOR_COMPUTER_JUDGEMENT 4357 min 261469843ms from TEAM450 @ site 1 id Run--9204949095400609151 problem O--8841600599995747019 lang C/C++--2653330288382123202
190304 131417.213|INFO|Thread-11|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #38826 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131417.213|INFO|Thread-11|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #38826, o#38826 ) handlePacket
190304 131417.213|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131417.213|INFO|Thread-11|dumpPacket|    To: TEAM450 @ site 1
190304 131417.213|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3598 QUEUED_FOR_COMPUTER_JUDGEMENT 4357 min 261469843ms from TEAM450 @ site 1 id Run--9204949095400609151 problem O--8841600599995747019 lang C/C++--2653330288382123202
190304 131430.073|INFO|Thread-11|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #38826 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131430.516|INFO|Thread-12|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #38839 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131430.516|INFO|Thread-12|dumpPacket|Packet RUN_JUDGEMENT (Seq #38839, o#38839 ) recieveObject
190304 131430.516|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131430.516|INFO|Thread-12|dumpPacket|    To: TEAM450 @ site 1
190304 131430.516|INFO|Thread-12|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
190304 131430.516|INFO|Thread-12|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3598 JUDGED 4357 min 261469843ms from TEAM450 @ site 1 id Run--9204949095400609151 problem O--8841600599995747019 lang C/C++--2653330288382123202
190304 131430.516|INFO|Thread-12|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE3 @ site 1 judgement Yes-8028836472540142573 id JudgementRecord-685264653846868298
190304 131430.516|INFO|Thread-12|info|handlePacket start Packet[RUN_JUDGEMENT] #38839 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131430.516|INFO|Thread-12|dumpPacket|Packet RUN_JUDGEMENT (Seq #38839, o#38839 ) handlePacket
190304 131430.516|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131430.516|INFO|Thread-12|dumpPacket|    To: TEAM450 @ site 1
190304 131430.516|INFO|Thread-12|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
190304 131430.516|INFO|Thread-12|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3598 JUDGED 4357 min 261469843ms from TEAM450 @ site 1 id Run--9204949095400609151 problem O--8841600599995747019 lang C/C++--2653330288382123202
190304 131430.516|INFO|Thread-12|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE3 @ site 1 judgement Yes-8028836472540142573 id JudgementRecord-685264653846868298
190304 131431.597|INFO|Thread-12|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 3598 JUDGED 4357 min 261469843ms from TEAM450 @ site 1 id Run--9204949095400609151 problem O--8841600599995747019 lang C/C++--2653330288382123202; runFiles=null
190304 131431.597|INFO|Thread-12|runChanged|Event not for me: sent to null but my ID is TEAM450 @ site 1
190304 131431.597|INFO|Thread-12|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #38839 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131438.607|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for P C/C++ file: C:\Users\Manh Son\Desktop\QHD\P.cpp
190304 131438.607|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #4 TEAM450 @ site 1 -> SERVER0 @ site 1
190304 131438.607|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #4 TEAM450 @ site 1 -> SERVER0 @ site 1
190304 131440.360|INFO|Thread-14|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #38843 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131440.360|INFO|Thread-14|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #38843, o#38843 ) recieveObject
190304 131440.361|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131440.361|INFO|Thread-14|dumpPacket|    To: TEAM450 @ site 1
190304 131440.361|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3600 QUEUED_FOR_COMPUTER_JUDGEMENT 4358 min 261493467ms from TEAM450 @ site 1 id Run-59440022497985186 problem P--6824041254768084554 lang C/C++--2653330288382123202
190304 131440.361|INFO|Thread-14|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #38843 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131440.363|INFO|Thread-14|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #38843, o#38843 ) handlePacket
190304 131440.364|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131440.365|INFO|Thread-14|dumpPacket|    To: TEAM450 @ site 1
190304 131440.368|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3600 QUEUED_FOR_COMPUTER_JUDGEMENT 4358 min 261493467ms from TEAM450 @ site 1 id Run-59440022497985186 problem P--6824041254768084554 lang C/C++--2653330288382123202
190304 131442.031|INFO|Thread-14|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #38843 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131448.032|INFO|Thread-15|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #38850 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131448.032|INFO|Thread-15|dumpPacket|Packet RUN_JUDGEMENT (Seq #38850, o#38850 ) recieveObject
190304 131448.032|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131448.032|INFO|Thread-15|dumpPacket|    To: TEAM450 @ site 1
190304 131448.032|INFO|Thread-15|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
190304 131448.048|INFO|Thread-15|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3600 JUDGED 4358 min 261493467ms from TEAM450 @ site 1 id Run-59440022497985186 problem P--6824041254768084554 lang C/C++--2653330288382123202
190304 131448.048|INFO|Thread-15|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE4 @ site 1 judgement Yes-8028836472540142573 id JudgementRecord-3012105397713762286
190304 131448.048|INFO|Thread-15|info|handlePacket start Packet[RUN_JUDGEMENT] #38850 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131448.048|INFO|Thread-15|dumpPacket|Packet RUN_JUDGEMENT (Seq #38850, o#38850 ) handlePacket
190304 131448.048|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131448.048|INFO|Thread-15|dumpPacket|    To: TEAM450 @ site 1
190304 131448.048|INFO|Thread-15|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
